0x7fbe93898288, 9, 8, 1
0x7fbe93897fbb, 9, 0, 9
0x7fbe938b3e4a, 9, 3, 6
0x7fbe938b3e20, 9, 0, 9
0x7fbe9389ec3c, 9, 7, 2
0x7fbe93897fc3, 9, 0, 9
0x7fbe93897fcc, 9, 0, 0, 0x7fbe938981b0, 4, 0x7fbe93898564, 2, 0x7fbe93898592, 1, 0x7fbe938984a8, 1, 0x7fbe93898288, 1
0x7fbe938a1d39, 9, 5, 4
0x7fbe938920c0, 9, 0, 0, 0x7fbe938ae5c0, 9
0x7fbe9389317a, 9, 1, 8
0x7fbe93893260, 9, 0, 0
0x7fbe93893187, 8, 0, 8
0x7fbe938931ea, 8, 8, 0
0x7fbe938aa5ae, 8, 0, 8
0x7fbe938931e8, 8, 0, 8
0x7fbe938995a0, 8, 0, 8
0x7fbe938931de, 8, 0, 8
0x7fbe938aa5a0, 8, 0, 8
0x7fbe938aa5bb, 8, 0, 8
0x7fbe938aa5c4, 8, 0, 8
0x7fbe938931cd, 8, 0, 8
0x7fbe938931b0, 8, 0, 8
0x7fbe938ad840, 8, 8, 0
0x7fbe938995bc, 8, 6, 2
0x7fbe938aa5cc, 8, 8, 0
0x7fbe93893dff, 8, 0, 8
0x7fbe938931a9, 8, 0, 8
0x7fbe938b43b4, 8, 1, 7
0x7fbe93893e03, 8, 0, 8
0x7fbe938ab640, 8, 0, 0, 0x7fbe938aa74d, 1, 0x7fbe938a17c2, 1, 0x7fbe938adbe6, 1, 0x7fbe938adb9a, 1, 0x7fbe938adb7f, 1, 0x7fbe938adbd2, 1, 0x7fbe938adb64, 1, 0x7fbe938adb55, 1
0x7fbe93893e08, 8, 0, 0, 0x7fbe938947ab, 4, 0x7fbe938945cd, 2, 0x7fbe9389478a, 1, 0x7fbe9389471e, 1
0x7fbe938ab611, 8, 8, 0
0x7fbe938ab648, 8, 0, 0
0x7fbe938ab5e0, 8, 3, 5
0x7fbe93893e32, 7, 7, 0
0x7fbe93894201, 7, 7, 0
0x7fbe938b43b9, 7, 3, 4
0x7fbe9389f5b8, 7, 7, 0
0x7fbe938b0160, 7, 0, 7
0x7fbe938b016d, 7, 3, 4
0x7fbe938b0186, 7, 0, 7
0x7fbe938b018e, 7, 0, 0, 0x7fbe93898492, 3, 0x7fbe93898c23, 1, 0x7fbe93898326, 1, 0x7fbe938ae540, 1, 0x7fbe938a397d, 1
0x7fbe938ab100, 7, 0, 7
0x7fbe938ab104, 7, 0, 7
0x7fbe938ab118, 7, 0, 7
0x7fbe938b4380, 7, 0, 0
0x7fbe938ab122, 7, 0, 7
0x7fbe938ab13e, 7, 7, 0
0x7fbe938aa66f, 7, 0, 0, 0x7fbe938aa7b0, 6, 0x7fbe938aa80b, 1
0x7fbe9389ec30, 7, 0, 7
0x7fbe938b4397, 7, 5, 2
0x7fbe938a1cf0, 7, 6, 1
0x7fbe9389ec20, 7, 0, 7
0x7fbe93898728, 7, 1, 6
0x7fbe938a3f7b, 7, 3, 4
0x7fbe9389ec10, 7, 0, 7
0x7fbe938b0050, 6, 0, 0
0x7fbe938aa7a4, 6, 0, 0
0x7fbe938aa780, 6, 0, 6
0x7fbe938b005e, 6, 0, 6
0x7fbe938b3e5a, 6, 0, 0, 0x7fbe9389e25a, 2, 0x7fbe9389b73a, 1, 0x7fbe938a1eeb, 1, 0x7fbe938944da, 1, 0x7fbe938adc0b, 1
0x7fbe938b0066, 6, 0, 0, 0x7fbe93897bab, 2, 0x7fbe93899664, 2, 0x7fbe938985e8, 1, 0x7fbe938998c3, 1
0x7fbe938a1d46, 6, 3, 3
0x7fbe9389f844, 6, 3, 3
0x7fbe938b45a2, 6, 2, 4
0x7fbe938aa7b4, 6, 4, 2
0x7fbe938aa7b0, 6, 0, 6
0x7fbe9389fe4e, 6, 6, 0
0x7fbe93893f4a, 6, 1, 5
0x7fbe9389fe0e, 6, 0, 6
0x7fbe9389f830, 6, 6, 0
